0100:002:221020:210145:0332:001:F:000:0008:        00000029:01+00000+000000000
0100:002:221020:210159:0333:001:H:100:0008:                :00+00000+000000000
0100:002:221020:210159:0333:002:S:100:0108:   7505031095573+00010010*000000470
0100:002:221020:210159:0333:003:W:100:0000:   7505031095573:00000000+000000000
0100:002:221020:210201:0333:004:S:100:0108:   7505031092978+00010010*000000185
0100:002:221020:210201:0333:005:W:100:0000:   7505031092978:00000000+000000000
0100:002:221020:210203:0333:006:S:100:0004:    034264487949+00010010*000000699
0100:002:221020:210203:0333:007:W:100:0000:    034264487949:00000000+000000000
0100:002:221020:210206:0333:008:S:100:0108:   7505031092985+00010010*000000199
0100:002:221020:210206:0333:009:W:100:0000:   7505031092985:00000000+000000000
0100:002:221020:210233:0333:010:V:101:0008:           00.0%:00+00004+000001553
0100:002:221020:210233:0333:011:V:100:0008:           00.0%:00+00004+000000000
0100:002:221020:210233:0333:012:T:110:0008:                :01+00001+000001600
0100:002:221020:210233:0333:013:T:114:0008:                :01+00001-000000047
0100:002:221020:210233:0333:014:F:100:0008:                :00+00004+000001553
0100:002:221020:210250:0334:001:H:100:0008:                :00+00000+000000000
0100:002:221020:210250:0334:002:P:101:0045:        00000000:00+00000+000000000
0100:002:221020:210252:0334:003:S:100:0012:    193572818927+00010010*000003297
0100:002:221020:210252:0334:004:W:100:0000:    193572818927:00000000+000000000
0100:002:221020:210259:0334:005:V:101:0008:           00.0%:00+00001+000003297
0100:002:221020:210259:0334:006:V:100:0008:           00.0%:00+00001+000000000
0100:002:221020:210259:0334:007:T:110:0008:                :01+00001+000005000
0100:002:221020:210259:0334:008:T:114:0008:                :01+00001-000001703
0100:002:221020:210259:0334:009:F:100:0008:                :00+00001+000003297
0100:002:221020:211041:0335:001:H:100:0008:                :00+00000+000000000
0100:002:221020:211041:0335:002:S:100:0001:    031655531908+00010010*000001697
0100:002:221020:211041:0335:003:W:100:0000:    031655531908:00000000+000000000
0100:002:221020:211130:0335:004:V:101:0008:           00.0%:00+00001+000001697
0100:002:221020:211130:0335:005:V:100:0008:           00.0%:00+00001+000000000
0100:002:221020:211130:0335:006:T:110:0008:                :01+00001+000002700
0100:002:221020:211130:0335:007:T:114:0008:                :01+00001-000001003
0100:002:221020:211130:0335:008:F:100:0008:                :00+00001+000001697
